dataset,pred_len,n_seeds_requested,mse_mean,mse_std,mae_mean,mae_std,err_n_seeds,CP_coverage_mean,CP_coverage_std,CP_width_mean,CP_width_std,CP_n_seeds,CP_mse_mean,CP_mse_std,CP_mae_mean,CP_mae_std,CP_ACI_g0.001_coverage_mean,CP_ACI_g0.001_coverage_std,CP_ACI_g0.001_width_mean,CP_ACI_g0.001_width_std,CP_ACI_g0.001_n_seeds,CP_ACI_g0.001_mse_mean,CP_ACI_g0.001_mse_std,CP_ACI_g0.001_mae_mean,CP_ACI_g0.001_mae_std,CPVS_coverage_mean,CPVS_coverage_std,CPVS_width_mean,CPVS_width_std,CPVS_n_seeds,CPVS_mse_mean,CPVS_mse_std,CPVS_mae_mean,CPVS_mae_std,CPVS_ACI_g0.001_coverage_mean,CPVS_ACI_g0.001_coverage_std,CPVS_ACI_g0.001_width_mean,CPVS_ACI_g0.001_width_std,CPVS_ACI_g0.001_n_seeds,CPVS_ACI_g0.001_mse_mean,CPVS_ACI_g0.001_mse_std,CPVS_ACI_g0.001_mae_mean,CPVS_ACI_g0.001_mae_std,CPVS_aleatoric_coverage_mean,CPVS_aleatoric_coverage_std,CPVS_aleatoric_width_mean,CPVS_aleatoric_width_std,CPVS_aleatoric_n_seeds,CPVS_aleatoric_mse_mean,CPVS_aleatoric_mse_std,CPVS_aleatoric_mae_mean,CPVS_aleatoric_mae_std,CPVS_aleatoric_ACI_g0.001_coverage_mean,CPVS_aleatoric_ACI_g0.001_coverage_std,CPVS_aleatoric_ACI_g0.001_width_mean,CPVS_aleatoric_ACI_g0.001_width_std,CPVS_aleatoric_ACI_g0.001_n_seeds,CPVS_aleatoric_ACI_g0.001_mse_mean,CPVS_aleatoric_ACI_g0.001_mse_std,CPVS_aleatoric_ACI_g0.001_mae_mean,CPVS_aleatoric_ACI_g0.001_mae_std,CP_MOG_coverage_mean,CP_MOG_coverage_std,CP_MOG_width_mean,CP_MOG_width_std,CP_MOG_n_seeds,CP_MOG_mse_mean,CP_MOG_mse_std,CP_MOG_mae_mean,CP_MOG_mae_std,CP_MOG_ACI_g0.01_coverage_mean,CP_MOG_ACI_g0.01_coverage_std,CP_MOG_ACI_g0.01_width_mean,CP_MOG_ACI_g0.01_width_std,CP_MOG_ACI_g0.01_n_seeds,CP_MOG_ACI_g0.01_mse_mean,CP_MOG_ACI_g0.01_mse_std,CP_MOG_ACI_g0.01_mae_mean,CP_MOG_ACI_g0.01_mae_std,CP_MOG_ACI_g0.001_coverage_mean,CP_MOG_ACI_g0.001_coverage_std,CP_MOG_ACI_g0.001_width_mean,CP_MOG_ACI_g0.001_width_std,CP_MOG_ACI_g0.001_n_seeds,CP_MOG_ACI_g0.001_mse_mean,CP_MOG_ACI_g0.001_mse_std,CP_MOG_ACI_g0.001_mae_mean,CP_MOG_ACI_g0.001_mae_std,CQR_quantile_coverage_mean,CQR_quantile_coverage_std,CQR_quantile_width_mean,CQR_quantile_width_std,CQR_quantile_n_seeds,CQR_quantile_mse_mean,CQR_quantile_mse_std,CQR_quantile_mae_mean,CQR_quantile_mae_std,CQR_quantile_ACI_g0.001_coverage_mean,CQR_quantile_ACI_g0.001_coverage_std,CQR_quantile_ACI_g0.001_width_mean,CQR_quantile_ACI_g0.001_width_std,CQR_quantile_ACI_g0.001_n_seeds,CQR_quantile_ACI_g0.001_mse_mean,CQR_quantile_ACI_g0.001_mse_std,CQR_quantile_ACI_g0.001_mae_mean,CQR_quantile_ACI_g0.001_mae_std,CQR_retrain_coverage_mean,CQR_retrain_coverage_std,CQR_retrain_width_mean,CQR_retrain_width_std,CQR_retrain_n_seeds,CQR_retrain_mse_mean,CQR_retrain_mse_std,CQR_retrain_mae_mean,CQR_retrain_mae_std,CQR_retrain_ACI_g0.001_coverage_mean,CQR_retrain_ACI_g0.001_coverage_std,CQR_retrain_ACI_g0.001_width_mean,CQR_retrain_ACI_g0.001_width_std,CQR_retrain_ACI_g0.001_n_seeds,CQR_retrain_ACI_g0.001_mse_mean,CQR_retrain_ACI_g0.001_mse_std,CQR_retrain_ACI_g0.001_mae_mean,CQR_retrain_ACI_g0.001_mae_std,MoECP_coverage_mean,MoECP_coverage_std,MoECP_width_mean,MoECP_width_std,MoECP_n_seeds,MoECP_mse_mean,MoECP_mse_std,MoECP_mae_mean,MoECP_mae_std,MoECP_ACI_g0.001_coverage_mean,MoECP_ACI_g0.001_coverage_std,MoECP_ACI_g0.001_width_mean,MoECP_ACI_g0.001_width_std,MoECP_ACI_g0.001_n_seeds,MoECP_ACI_g0.001_mse_mean,MoECP_ACI_g0.001_mse_std,MoECP_ACI_g0.001_mae_mean,MoECP_ACI_g0.001_mae_std
ETTh1,96,5,0.392802,0.004813,0.408809,0.003584,5,0.9027,0.0004,1.9635,0.0136,5,0.392802,0.004813,0.408809,0.003584,0.9019,0.0001,2.0051,0.0128,5,0.392802,0.004813,0.408809,0.003584,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8824,0.0266,3.6108,0.2702,5,1.318767,0.121542,0.925782,0.049852,0.8941,0.0090,3.7858,0.1681,5,1.318767,0.121542,0.925782,0.049852,0.8571,0.0260,2.2330,0.0961,5,1.318767,0.121542,0.925782,0.049852,0.8863,0.0065,2.5106,0.2284,5,1.318767,0.121542,0.925782,0.049852,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ETTh2,96,5,0.328769,,0.366392,,1,0.8722,,1.5726,,1,0.328769,,0.366392,,0.8841,0.0006,1.7253,0.0416,5,0.310731,0.010320,0.355975,0.006032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8715,0.0231,4.2808,0.3761,5,2.708548,0.359536,1.300927,0.097696,0.8861,0.0094,4.4603,0.2712,5,2.708548,0.359536,1.300927,0.097696,0.8725,0.0341,3.0790,0.7448,5,2.708548,0.359536,1.300927,0.097696,0.8828,0.0111,3.2334,0.6439,5,2.708548,0.359536,1.300927,0.097696,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ETTm1,96,5,0.332360,,0.367467,,1,0.8939,,1.6741,,1,0.332360,,0.367467,,0.9011,0.0001,1.8404,0.0166,5,0.339889,0.006905,0.372677,0.004060,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8915,0.0012,2.6460,0.2161,5,0.811968,0.115100,0.710788,0.072558,0.8994,0.0018,2.7737,0.2151,5,0.811968,0.115100,0.710788,0.072558,0.8853,0.0023,1.7447,0.0538,5,0.811968,0.115100,0.710788,0.072558,0.8991,0.0005,1.9846,0.0589,5,0.811968,0.115100,0.710788,0.072558,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ETTm2,96,5,0.181777,,0.263183,,1,0.8865,,1.2483,,1,0.181777,,0.263183,,0.8988,0.0003,1.4086,0.0113,5,0.183139,0.002060,0.265498,0.001754,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8624,0.0137,3.6963,0.7148,5,2.217056,0.801020,1.149592,0.242536,0.8900,0.0074,3.9429,0.7633,5,2.217056,0.801020,1.149592,0.242536,0.8831,0.0068,2.0121,0.5808,5,2.217056,0.801020,1.149592,0.242536,0.8966,0.0012,2.2090,0.6045,5,2.217056,0.801020,1.149592,0.242536,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
weather,96,5,0.176519,,0.215365,,1,0.8701,,1.0033,,1,0.176519,,0.215365,,0.8941,,1.2671,,1,0.176519,,0.215365,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8770,,1.0271,,1,0.202190,,0.270348,,0.8944,,1.1784,,1,0.202190,,0.270348,,0.8611,,1.0065,,1,0.202190,,0.270348,,0.8942,,1.2990,,1,0.202190,,0.270348,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
electricity,96,5,0.150827,,0.241365,,1,0.8925,,1.0863,,1,0.150827,,0.241365,,0.8945,0.0001,1.1362,0.0007,5,0.150350,0.000359,0.241229,0.000290,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8872,,1.4536,,1,0.279978,,0.374303,,0.8936,0.0019,1.5170,0.0351,5,0.288799,0.013379,0.380881,0.010504,0.8805,,1.2255,,1,0.279978,,0.374303,,0.8921,0.0005,1.3160,0.0239,5,0.288799,0.013379,0.380881,0.010504,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
traffic,96,5,0.406401,,0.276159,,1,0.8916,,1.2829,,1,0.406401,,0.276159,,0.8971,0.0001,1.4018,0.0049,5,0.407358,0.001538,0.276556,0.000926,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8920,,1.6853,,1,0.704569,,0.412400,,0.8940,0.0007,1.8845,0.1864,5,0.752898,0.054346,0.452955,0.037747,0.8784,,1.4026,,1,0.704569,,0.412400,,0.8899,0.0013,1.5548,0.0680,5,0.752898,0.054346,0.452955,0.037747,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
exchange-rate,96,5,0.107556,,0.230425,,1,0.8840,,0.9808,,1,0.107556,,0.230425,,0.8918,,1.0388,,1,0.107556,,0.230425,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8861,,5.6851,,1,2.366422,,1.309022,,0.9116,,5.8226,,1,2.366422,,1.309022,,0.9083,,7.0101,,1,2.366422,,1.309022,,0.8959,,7.1197,,1,2.366422,,1.309022,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
national-illness,24,5,1.765481,0.043481,0.861770,0.018967,5,0.7406,0.0066,2.4305,0.0182,5,1.765481,0.043481,0.861770,0.018967,0.7600,,2.5762,,1,1.759935,,0.862583,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.6884,0.0566,5.5960,0.4253,5,6.892255,1.261057,1.959445,0.257918,0.7025,,5.9594,,1,6.579035,,1.818163,,0.6768,,5.5457,,1,6.579035,,1.818163,,0.7025,,5.9594,,1,6.579035,,1.818163,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
