dataset,pred_len,n_seeds_requested,mse_mean,mse_std,mae_mean,mae_std,err_n_seeds,CP_coverage_mean,CP_coverage_std,CP_width_mean,CP_width_std,CP_n_seeds,CP_mse_mean,CP_mse_std,CP_mae_mean,CP_mae_std,CP_ACI_g0.001_coverage_mean,CP_ACI_g0.001_coverage_std,CP_ACI_g0.001_width_mean,CP_ACI_g0.001_width_std,CP_ACI_g0.001_n_seeds,CP_ACI_g0.001_mse_mean,CP_ACI_g0.001_mse_std,CP_ACI_g0.001_mae_mean,CP_ACI_g0.001_mae_std,CPVS_coverage_mean,CPVS_coverage_std,CPVS_width_mean,CPVS_width_std,CPVS_n_seeds,CPVS_mse_mean,CPVS_mse_std,CPVS_mae_mean,CPVS_mae_std,CPVS_ACI_g0.001_coverage_mean,CPVS_ACI_g0.001_coverage_std,CPVS_ACI_g0.001_width_mean,CPVS_ACI_g0.001_width_std,CPVS_ACI_g0.001_n_seeds,CPVS_ACI_g0.001_mse_mean,CPVS_ACI_g0.001_mse_std,CPVS_ACI_g0.001_mae_mean,CPVS_ACI_g0.001_mae_std,CPVS_aleatoric_coverage_mean,CPVS_aleatoric_coverage_std,CPVS_aleatoric_width_mean,CPVS_aleatoric_width_std,CPVS_aleatoric_n_seeds,CPVS_aleatoric_mse_mean,CPVS_aleatoric_mse_std,CPVS_aleatoric_mae_mean,CPVS_aleatoric_mae_std,CPVS_aleatoric_ACI_g0.001_coverage_mean,CPVS_aleatoric_ACI_g0.001_coverage_std,CPVS_aleatoric_ACI_g0.001_width_mean,CPVS_aleatoric_ACI_g0.001_width_std,CPVS_aleatoric_ACI_g0.001_n_seeds,CPVS_aleatoric_ACI_g0.001_mse_mean,CPVS_aleatoric_ACI_g0.001_mse_std,CPVS_aleatoric_ACI_g0.001_mae_mean,CPVS_aleatoric_ACI_g0.001_mae_std,CP_MOG_coverage_mean,CP_MOG_coverage_std,CP_MOG_width_mean,CP_MOG_width_std,CP_MOG_n_seeds,CP_MOG_mse_mean,CP_MOG_mse_std,CP_MOG_mae_mean,CP_MOG_mae_std,CP_MOG_ACI_g0.01_coverage_mean,CP_MOG_ACI_g0.01_coverage_std,CP_MOG_ACI_g0.01_width_mean,CP_MOG_ACI_g0.01_width_std,CP_MOG_ACI_g0.01_n_seeds,CP_MOG_ACI_g0.01_mse_mean,CP_MOG_ACI_g0.01_mse_std,CP_MOG_ACI_g0.01_mae_mean,CP_MOG_ACI_g0.01_mae_std,CP_MOG_ACI_g0.001_coverage_mean,CP_MOG_ACI_g0.001_coverage_std,CP_MOG_ACI_g0.001_width_mean,CP_MOG_ACI_g0.001_width_std,CP_MOG_ACI_g0.001_n_seeds,CP_MOG_ACI_g0.001_mse_mean,CP_MOG_ACI_g0.001_mse_std,CP_MOG_ACI_g0.001_mae_mean,CP_MOG_ACI_g0.001_mae_std,CQR_quantile_coverage_mean,CQR_quantile_coverage_std,CQR_quantile_width_mean,CQR_quantile_width_std,CQR_quantile_n_seeds,CQR_quantile_mse_mean,CQR_quantile_mse_std,CQR_quantile_mae_mean,CQR_quantile_mae_std,CQR_quantile_ACI_g0.001_coverage_mean,CQR_quantile_ACI_g0.001_coverage_std,CQR_quantile_ACI_g0.001_width_mean,CQR_quantile_ACI_g0.001_width_std,CQR_quantile_ACI_g0.001_n_seeds,CQR_quantile_ACI_g0.001_mse_mean,CQR_quantile_ACI_g0.001_mse_std,CQR_quantile_ACI_g0.001_mae_mean,CQR_quantile_ACI_g0.001_mae_std,CQR_retrain_coverage_mean,CQR_retrain_coverage_std,CQR_retrain_width_mean,CQR_retrain_width_std,CQR_retrain_n_seeds,CQR_retrain_mse_mean,CQR_retrain_mse_std,CQR_retrain_mae_mean,CQR_retrain_mae_std,CQR_retrain_ACI_g0.001_coverage_mean,CQR_retrain_ACI_g0.001_coverage_std,CQR_retrain_ACI_g0.001_width_mean,CQR_retrain_ACI_g0.001_width_std,CQR_retrain_ACI_g0.001_n_seeds,CQR_retrain_ACI_g0.001_mse_mean,CQR_retrain_ACI_g0.001_mse_std,CQR_retrain_ACI_g0.001_mae_mean,CQR_retrain_ACI_g0.001_mae_std,MoECP_coverage_mean,MoECP_coverage_std,MoECP_width_mean,MoECP_width_std,MoECP_n_seeds,MoECP_mse_mean,MoECP_mse_std,MoECP_mae_mean,MoECP_mae_std,MoECP_ACI_g0.001_coverage_mean,MoECP_ACI_g0.001_coverage_std,MoECP_ACI_g0.001_width_mean,MoECP_ACI_g0.001_width_std,MoECP_ACI_g0.001_n_seeds,MoECP_ACI_g0.001_mse_mean,MoECP_ACI_g0.001_mse_std,MoECP_ACI_g0.001_mae_mean,MoECP_ACI_g0.001_mae_std
ETTh1,96,5,0.389634,0.002790,0.405326,0.001227,5,0.9024,0.0003,1.9517,0.0053,5,0.389634,0.002790,0.405326,0.001227,0.9015,0.0002,1.9899,0.0063,5,0.389634,0.002790,0.405326,0.001227,0.8992,0.0009,1.7288,0.0061,5,0.389634,0.002790,0.405326,0.001227,0.8983,0.0007,1.7400,0.0043,5,0.389634,0.002790,0.405326,0.001227,0.8992,0.0009,1.7298,0.0060,5,0.389634,0.002790,0.405326,0.001227,0.8983,0.0007,1.7412,0.0044,5,0.389634,0.002790,0.405326,0.001227,0.8992,0.0009,1.7294,0.0060,5,0.389634,0.002790,0.405326,0.001227,0.8840,,1.9251,,1,0.389726,,0.405346,,0.8983,0.0007,1.7406,0.0043,5,0.389634,0.002790,0.405326,0.001227,0.8818,0.0269,3.6179,0.2818,5,1.293930,0.095806,0.924194,0.042803,0.8847,,3.8594,,1,1.311023,,0.964179,,0.8541,0.0258,2.1443,0.2061,5,1.293930,0.095806,0.924194,0.042803,0.8931,,2.3815,,1,1.311023,,0.964179,,0.9014,,1.9591,,1,0.389726,,0.405346,,0.9011,0.0002,1.9985,0.0129,5,0.389634,0.002790,0.405326,0.001227
ETTh2,96,5,0.288378,0.002821,0.339232,0.001290,5,0.8720,0.0009,1.4578,0.0144,5,0.288378,0.002821,0.339232,0.001290,0.8851,0.0005,1.6499,0.0189,5,0.288378,0.002821,0.339232,0.001290,0.8843,0.0008,1.6182,0.0181,5,0.288378,0.002821,0.339232,0.001290,0.8919,0.0006,1.8754,0.0359,5,0.288378,0.002821,0.339232,0.001290,0.8842,0.0007,1.6216,0.0179,5,0.288378,0.002821,0.339232,0.001290,0.8919,0.0006,1.8801,0.0354,5,0.288378,0.002821,0.339232,0.001290,0.8843,0.0008,1.6200,0.0179,5,0.288378,0.002821,0.339232,0.001290,0.8662,,1.9778,,1,0.288192,,0.338637,,0.8919,0.0006,1.8756,0.0361,5,0.288378,0.002821,0.339232,0.001290,0.8701,0.0113,4.6221,0.1981,5,3.219308,0.328640,1.414472,0.074781,0.8895,,4.7536,,1,3.130526,,1.452118,,0.8836,0.0387,3.1574,0.4689,5,3.219308,0.328640,1.414472,0.074781,0.8660,,2.5803,,1,3.130526,,1.452118,,0.8725,,1.4661,,1,0.288192,,0.338637,,0.8844,0.0004,1.6466,0.0144,5,0.288378,0.002821,0.339232,0.001290
ETTm1,96,5,0.322150,0.004839,0.358613,0.003457,5,0.8942,0.0006,1.6372,0.0146,5,0.322150,0.004839,0.358613,0.003457,0.9011,0.0002,1.7733,0.0162,5,0.322150,0.004839,0.358613,0.003457,0.8921,0.0006,1.5260,0.0217,5,0.322150,0.004839,0.358613,0.003457,0.9006,0.0003,1.6700,0.0302,5,0.322150,0.004839,0.358613,0.003457,0.8921,0.0006,1.5269,0.0211,5,0.322150,0.004839,0.358613,0.003457,0.9006,0.0003,1.6718,0.0295,5,0.322150,0.004839,0.358613,0.003457,0.8921,0.0006,1.5264,0.0213,5,0.322150,0.004839,0.358613,0.003457,0.8707,,1.7221,,1,0.322180,,0.358635,,0.9006,0.0003,1.6711,0.0298,5,0.322150,0.004839,0.358613,0.003457,0.8897,0.0035,2.4547,0.1766,5,0.687616,0.075060,0.641676,0.055294,0.8992,,2.5976,,1,0.727552,,0.671707,,0.8852,0.0028,1.7262,0.0282,5,0.687616,0.075060,0.641676,0.055294,0.8993,,1.9852,,1,0.727552,,0.671707,,0.8922,,1.6723,,1,0.322180,,0.358635,,0.9009,0.0002,1.8038,0.0225,5,0.322150,0.004839,0.358613,0.003457
ETTm2,96,5,0.177549,0.001888,0.258720,0.002844,5,0.8864,0.0006,1.2327,0.0101,5,0.177549,0.001888,0.258720,0.002844,0.8988,0.0002,1.3833,0.0123,5,0.177549,0.001888,0.258720,0.002844,0.8881,0.0006,1.3123,0.0314,5,0.177549,0.001888,0.258720,0.002844,0.9004,0.0003,1.5381,0.0590,5,0.177549,0.001888,0.258720,0.002844,0.8881,0.0006,1.3135,0.0312,5,0.177549,0.001888,0.258720,0.002844,0.9004,0.0003,1.5395,0.0592,5,0.177549,0.001888,0.258720,0.002844,0.8881,0.0006,1.3129,0.0314,5,0.177549,0.001888,0.258720,0.002844,0.8590,,1.2942,,1,0.180107,,0.263648,,0.9004,0.0003,1.5382,0.0591,5,0.177549,0.001888,0.258720,0.002844,0.8740,0.0029,3.7621,0.4794,5,2.455398,0.642682,1.251333,0.194661,0.8939,,3.9899,,1,2.621671,,1.320155,,0.8799,0.0075,1.6085,0.2196,5,2.455398,0.642682,1.251333,0.194661,0.8960,,1.6908,,1,2.621671,,1.320155,,0.8853,,1.2415,,1,0.180107,,0.263648,,0.8984,0.0005,1.3788,0.0119,5,0.177549,0.001888,0.258720,0.002844
weather,96,5,0.205083,,0.248151,,1,0.8648,,1.1431,,1,0.205083,,0.248151,,0.8915,,1.4158,,1,0.205083,,0.248151,,0.8667,,1.1230,,1,0.205083,,0.248151,,0.8928,,1.4404,,1,0.205083,,0.248151,,0.8667,,1.1235,,1,0.205083,,0.248151,,0.8928,,1.4416,,1,0.205083,,0.248151,,0.8669,,1.1232,,1,0.205083,,0.248151,,0.8338,,1.2678,,1,0.205083,,0.248151,,0.8929,,1.4394,,1,0.205083,,0.248151,,0.8774,,1.0216,,1,0.209890,,0.272083,,0.8949,,1.1616,,1,0.209890,,0.272083,,,,,,0,,,,,0.8953,,1.2312,,1,0.209890,,0.272083,,0.8652,,1.0936,,1,0.205083,,0.248151,,0.8917,,1.3198,,1,0.205083,,0.248151,
electricity,96,5,0.154267,,0.244302,,1,0.8929,,1.1013,,1,0.154267,,0.244302,,0.8952,0.0001,1.1602,0.0051,5,0.157049,0.001777,0.243848,0.000660,0.8939,,1.0366,,1,0.154267,,0.244302,,0.8962,0.0002,1.1037,0.0065,5,0.157049,0.001777,0.243848,0.000660,0.8939,,1.0366,,1,0.154267,,0.244302,,0.8961,0.0001,1.1036,0.0064,5,0.157049,0.001777,0.243848,0.000660,0.8939,,1.0366,,1,0.154267,,0.244302,,0.8824,,1.2044,,1,0.154267,,0.244302,,0.8961,0.0001,1.1034,0.0064,5,0.157049,0.001777,0.243848,0.000660,0.8751,,1.3851,,1,0.283798,,0.373635,,0.8925,0.0018,1.4864,0.0412,5,0.286790,0.013867,0.378270,0.011313,,,,,0,,,,,0.8920,0.0004,1.3101,0.0278,5,0.286790,0.013867,0.378270,0.011313,0.8920,,1.0967,,1,0.154267,,0.244302,,,,,,0,,,,
traffic,96,5,0.423994,,0.276295,,1,0.8923,,1.3335,,1,0.423994,,0.276295,,0.8971,0.0003,1.4776,0.0188,5,0.431331,0.004217,0.282023,0.003506,0.8884,,1.0532,,1,0.423994,,0.276295,,0.8968,0.0003,1.1935,0.0204,5,0.431331,0.004217,0.282023,0.003506,0.8884,,1.0535,,1,0.423994,,0.276295,,0.8968,0.0003,1.1936,0.0202,5,0.431331,0.004217,0.282023,0.003506,0.8884,,1.0533,,1,0.423994,,0.276295,,0.8799,,1.6604,,1,0.423994,,0.276295,,0.8968,0.0003,1.1934,0.0202,5,0.431331,0.004217,0.282023,0.003506,0.8877,,1.5770,,1,0.683397,,0.402341,,0.8939,0.0018,1.8401,0.1692,5,0.724614,0.034186,0.442523,0.032630,,,,,0,,,,,0.8901,0.0017,1.4975,0.0503,3,0.701748,0.018226,0.420703,0.016896,0.8914,,1.3254,,1,0.423994,,0.276295,,,,,,0,,,,
exchange-rate,96,5,0.089364,0.005255,0.210527,0.006449,5,0.8945,0.0045,0.9542,0.0290,5,0.089364,0.005255,0.210527,0.006449,0.8938,,0.9956,,1,0.098481,,0.221231,,0.8924,0.0073,0.9827,0.0297,5,0.089364,0.005255,0.210527,0.006449,0.8895,,1.0475,,1,0.098481,,0.221231,,0.8842,,1.0019,,1,0.098481,,0.221231,,0.8894,,1.0466,,1,0.098481,,0.221231,,0.8843,,1.0026,,1,0.098481,,0.221231,,0.8453,,1.0835,,1,0.098481,,0.221231,,0.8893,,1.0461,,1,0.098481,,0.221231,,0.7225,,2.6061,,1,1.156476,,0.895796,,0.8238,,2.9913,,1,1.156476,,0.895796,,,,,,0,,,,,0.8098,,2.8771,,1,1.156476,,0.895796,,0.8871,,0.9590,,1,0.098481,,0.221231,,0.8916,,0.9926,,1,0.098481,,0.221231,
national-illness,24,5,1.767507,0.024119,0.830456,0.008438,5,0.7380,0.0030,2.4189,0.0217,5,1.767507,0.024119,0.830456,0.008438,0.7542,,2.5354,,1,1.757898,,0.821950,,0.6922,0.0036,2.0430,0.0443,5,1.767507,0.024119,0.830456,0.008438,0.7091,,2.1677,,1,1.757898,,0.821950,,0.6899,0.0045,2.0244,0.0438,5,1.767507,0.024119,0.830456,0.008438,0.7068,,2.1501,,1,1.757898,,0.821950,,0.6904,0.0044,2.0263,0.0438,5,1.767507,0.024119,0.830456,0.008438,0.7877,,3.1451,,1,1.757898,,0.821950,,0.7071,,2.1514,,1,1.757898,,0.821950,,0.6700,,6.3018,,1,7.457822,,2.034585,,0.6875,,6.6556,,1,7.457822,,2.034585,,,,,,0,,,,,0.6875,,6.6556,,1,7.457822,,2.034585,,,,,,0,,,,,0.7155,,2.4108,,1,1.757898,,0.821950,
