dataset,pred_len,n_seeds_requested,mse_mean,mse_std,mae_mean,mae_std,err_n_seeds,CP_coverage_mean,CP_coverage_std,CP_width_mean,CP_width_std,CP_n_seeds,CP_mse_mean,CP_mse_std,CP_mae_mean,CP_mae_std,CP_ACI_g0.001_coverage_mean,CP_ACI_g0.001_coverage_std,CP_ACI_g0.001_width_mean,CP_ACI_g0.001_width_std,CP_ACI_g0.001_n_seeds,CP_ACI_g0.001_mse_mean,CP_ACI_g0.001_mse_std,CP_ACI_g0.001_mae_mean,CP_ACI_g0.001_mae_std,CPVS_coverage_mean,CPVS_coverage_std,CPVS_width_mean,CPVS_width_std,CPVS_n_seeds,CPVS_mse_mean,CPVS_mse_std,CPVS_mae_mean,CPVS_mae_std,CPVS_ACI_g0.001_coverage_mean,CPVS_ACI_g0.001_coverage_std,CPVS_ACI_g0.001_width_mean,CPVS_ACI_g0.001_width_std,CPVS_ACI_g0.001_n_seeds,CPVS_ACI_g0.001_mse_mean,CPVS_ACI_g0.001_mse_std,CPVS_ACI_g0.001_mae_mean,CPVS_ACI_g0.001_mae_std,CPVS_aleatoric_coverage_mean,CPVS_aleatoric_coverage_std,CPVS_aleatoric_width_mean,CPVS_aleatoric_width_std,CPVS_aleatoric_n_seeds,CPVS_aleatoric_mse_mean,CPVS_aleatoric_mse_std,CPVS_aleatoric_mae_mean,CPVS_aleatoric_mae_std,CPVS_aleatoric_ACI_g0.001_coverage_mean,CPVS_aleatoric_ACI_g0.001_coverage_std,CPVS_aleatoric_ACI_g0.001_width_mean,CPVS_aleatoric_ACI_g0.001_width_std,CPVS_aleatoric_ACI_g0.001_n_seeds,CPVS_aleatoric_ACI_g0.001_mse_mean,CPVS_aleatoric_ACI_g0.001_mse_std,CPVS_aleatoric_ACI_g0.001_mae_mean,CPVS_aleatoric_ACI_g0.001_mae_std,CP_MOG_coverage_mean,CP_MOG_coverage_std,CP_MOG_width_mean,CP_MOG_width_std,CP_MOG_n_seeds,CP_MOG_mse_mean,CP_MOG_mse_std,CP_MOG_mae_mean,CP_MOG_mae_std,CP_MOG_ACI_g0.01_coverage_mean,CP_MOG_ACI_g0.01_coverage_std,CP_MOG_ACI_g0.01_width_mean,CP_MOG_ACI_g0.01_width_std,CP_MOG_ACI_g0.01_n_seeds,CP_MOG_ACI_g0.01_mse_mean,CP_MOG_ACI_g0.01_mse_std,CP_MOG_ACI_g0.01_mae_mean,CP_MOG_ACI_g0.01_mae_std,CP_MOG_ACI_g0.001_coverage_mean,CP_MOG_ACI_g0.001_coverage_std,CP_MOG_ACI_g0.001_width_mean,CP_MOG_ACI_g0.001_width_std,CP_MOG_ACI_g0.001_n_seeds,CP_MOG_ACI_g0.001_mse_mean,CP_MOG_ACI_g0.001_mse_std,CP_MOG_ACI_g0.001_mae_mean,CP_MOG_ACI_g0.001_mae_std,CQR_quantile_coverage_mean,CQR_quantile_coverage_std,CQR_quantile_width_mean,CQR_quantile_width_std,CQR_quantile_n_seeds,CQR_quantile_mse_mean,CQR_quantile_mse_std,CQR_quantile_mae_mean,CQR_quantile_mae_std,CQR_quantile_ACI_g0.001_coverage_mean,CQR_quantile_ACI_g0.001_coverage_std,CQR_quantile_ACI_g0.001_width_mean,CQR_quantile_ACI_g0.001_width_std,CQR_quantile_ACI_g0.001_n_seeds,CQR_quantile_ACI_g0.001_mse_mean,CQR_quantile_ACI_g0.001_mse_std,CQR_quantile_ACI_g0.001_mae_mean,CQR_quantile_ACI_g0.001_mae_std,CQR_retrain_coverage_mean,CQR_retrain_coverage_std,CQR_retrain_width_mean,CQR_retrain_width_std,CQR_retrain_n_seeds,CQR_retrain_mse_mean,CQR_retrain_mse_std,CQR_retrain_mae_mean,CQR_retrain_mae_std,CQR_retrain_ACI_g0.001_coverage_mean,CQR_retrain_ACI_g0.001_coverage_std,CQR_retrain_ACI_g0.001_width_mean,CQR_retrain_ACI_g0.001_width_std,CQR_retrain_ACI_g0.001_n_seeds,CQR_retrain_ACI_g0.001_mse_mean,CQR_retrain_ACI_g0.001_mse_std,CQR_retrain_ACI_g0.001_mae_mean,CQR_retrain_ACI_g0.001_mae_std,MoECP_coverage_mean,MoECP_coverage_std,MoECP_width_mean,MoECP_width_std,MoECP_n_seeds,MoECP_mse_mean,MoECP_mse_std,MoECP_mae_mean,MoECP_mae_std,MoECP_ACI_g0.001_coverage_mean,MoECP_ACI_g0.001_coverage_std,MoECP_ACI_g0.001_width_mean,MoECP_ACI_g0.001_width_std,MoECP_ACI_g0.001_n_seeds,MoECP_ACI_g0.001_mse_mean,MoECP_ACI_g0.001_mse_std,MoECP_ACI_g0.001_mae_mean,MoECP_ACI_g0.001_mae_std
ETTh1,96,5,0.387592,0.004857,0.404861,0.002697,5,0.9023,0.0007,1.9436,0.0065,5,0.387592,0.004857,0.404861,0.002697,0.9016,0.0003,1.9822,0.0101,5,0.387592,0.004857,0.404861,0.002697,0.8993,0.0014,1.7531,0.0110,5,0.387592,0.004857,0.404861,0.002697,0.8978,0.0008,1.7623,0.0109,5,0.387592,0.004857,0.404861,0.002697,0.8993,0.0014,1.7531,0.0110,5,0.387592,0.004857,0.404861,0.002697,0.8978,0.0008,1.7623,0.0109,5,0.387592,0.004857,0.404861,0.002697,0.8993,0.0014,1.7531,0.0110,5,0.387592,0.004857,0.404861,0.002697,0.8848,,1.9623,,1,0.382574,,0.401871,,0.8978,0.0008,1.7623,0.0109,5,0.387592,0.004857,0.404861,0.002697,0.8824,0.0266,3.6108,0.2702,5,1.318767,0.121542,0.925782,0.049852,0.8941,0.0090,3.7858,0.1681,5,1.318767,0.121542,0.925782,0.049852,0.8571,0.0260,2.2330,0.0961,5,1.318767,0.121542,0.925782,0.049852,0.8863,0.0065,2.5106,0.2284,5,1.318767,0.121542,0.925782,0.049852,0.9019,,1.9315,,1,0.382574,,0.401871,,0.9014,,1.9726,,1,0.382574,,0.401871,
ETTh2,96,5,0.287789,0.001925,0.341166,0.001294,5,0.8721,0.0008,1.4602,0.0095,5,0.287789,0.001925,0.341166,0.001294,0.8854,0.0003,1.6515,0.0168,5,0.287789,0.001925,0.341166,0.001294,0.8843,0.0014,1.6674,0.0509,5,0.287789,0.001925,0.341166,0.001294,0.8921,0.0005,1.8956,0.0655,5,0.287789,0.001925,0.341166,0.001294,0.8843,0.0014,1.6674,0.0509,5,0.287789,0.001925,0.341166,0.001294,0.8921,0.0005,1.8956,0.0655,5,0.287789,0.001925,0.341166,0.001294,0.8843,0.0014,1.6674,0.0509,5,0.287789,0.001925,0.341166,0.001294,0.8650,,1.9980,,1,0.290445,,0.342763,,0.8921,0.0005,1.8956,0.0655,5,0.287789,0.001925,0.341166,0.001294,0.8715,0.0231,4.2808,0.3761,5,2.708548,0.359536,1.300927,0.097696,0.8861,0.0094,4.4603,0.2712,5,2.708548,0.359536,1.300927,0.097696,0.8725,0.0341,3.0790,0.7448,5,2.708548,0.359536,1.300927,0.097696,0.8828,0.0111,3.2334,0.6439,5,2.708548,0.359536,1.300927,0.097696,0.8700,,1.4394,,1,0.290445,,0.342763,,0.8848,,1.6072,,1,0.290445,,0.342763,
ETTm1,96,5,0.323998,0.004748,0.359571,0.002884,5,0.8946,0.0003,1.6399,0.0137,5,0.323998,0.004748,0.359571,0.002884,0.9011,0.0002,1.7740,0.0099,5,0.323998,0.004748,0.359571,0.002884,0.8921,0.0004,1.5528,0.0163,5,0.323998,0.004748,0.359571,0.002884,0.9007,0.0003,1.7035,0.0166,5,0.323998,0.004748,0.359571,0.002884,0.8921,0.0004,1.5528,0.0163,5,0.323998,0.004748,0.359571,0.002884,0.9007,0.0003,1.7035,0.0166,5,0.323998,0.004748,0.359571,0.002884,0.8921,0.0004,1.5528,0.0163,5,0.323998,0.004748,0.359571,0.002884,0.8710,,1.7747,,1,0.331328,,0.363744,,0.9007,0.0003,1.7035,0.0166,5,0.323998,0.004748,0.359571,0.002884,0.8915,0.0012,2.6460,0.2161,5,0.811968,0.115100,0.710788,0.072558,0.8994,0.0018,2.7737,0.2151,5,0.811968,0.115100,0.710788,0.072558,0.8853,0.0023,1.7447,0.0538,5,0.811968,0.115100,0.710788,0.072558,0.8991,0.0005,1.9846,0.0589,5,0.811968,0.115100,0.710788,0.072558,0.8940,,1.6558,,1,0.331328,,0.363744,,0.9011,,1.7867,,1,0.331328,,0.363744,
ETTm2,96,5,0.177464,0.001565,0.258334,0.002390,5,0.8860,0.0007,1.2287,0.0073,5,0.177464,0.001565,0.258334,0.002390,0.8988,0.0003,1.3832,0.0071,5,0.177464,0.001565,0.258334,0.002390,0.8893,0.0011,1.3500,0.0216,5,0.177464,0.001565,0.258334,0.002390,0.9006,0.0004,1.6469,0.0722,5,0.177464,0.001565,0.258334,0.002390,0.8893,0.0011,1.3500,0.0216,5,0.177464,0.001565,0.258334,0.002390,0.9006,0.0004,1.6469,0.0722,5,0.177464,0.001565,0.258334,0.002390,0.8893,0.0011,1.3500,0.0216,5,0.177464,0.001565,0.258334,0.002390,0.8602,,1.5638,,1,0.176913,,0.257740,,0.9006,0.0004,1.6469,0.0722,5,0.177464,0.001565,0.258334,0.002390,0.8624,0.0137,3.6963,0.7148,5,2.217056,0.801020,1.149592,0.242536,0.8900,0.0074,3.9429,0.7633,5,2.217056,0.801020,1.149592,0.242536,0.8831,0.0068,2.0121,0.5808,5,2.217056,0.801020,1.149592,0.242536,0.8966,0.0012,2.2090,0.6045,5,2.217056,0.801020,1.149592,0.242536,0.8845,,1.2237,,1,0.176913,,0.257740,,0.8984,,1.3751,,1,0.176913,,0.257740,
weather,96,5,0.177445,,0.215438,,1,0.8707,,1.0093,,1,0.177445,,0.215438,,0.8943,,1.2649,,1,0.177445,,0.215438,,0.8715,,1.0291,,1,0.177445,,0.215438,,0.8960,,1.3533,,1,0.177445,,0.215438,,0.8715,,1.0291,,1,0.177445,,0.215438,,0.8960,,1.3533,,1,0.177445,,0.215438,,0.8715,,1.0291,,1,0.177445,,0.215438,,0.8422,,1.2023,,1,0.177445,,0.215438,,0.8960,,1.3533,,1,0.177445,,0.215438,,0.8770,,1.0271,,1,0.202190,,0.270348,,0.8944,,1.1784,,1,0.202190,,0.270348,,0.8611,,1.0065,,1,0.202190,,0.270348,,0.8942,,1.2990,,1,0.202190,,0.270348,,0.8697,,1.0046,,1,0.177445,,0.215438,,0.8944,,1.2385,,1,0.177445,,0.215438,
electricity,96,5,0.158779,,0.244524,,1,0.8931,,1.1156,,1,0.158779,,0.244524,,0.8952,0.0001,1.1633,0.0017,5,0.158370,0.000375,0.244189,0.000399,0.8931,,1.0460,,1,0.158779,,0.244524,,0.8961,0.0001,1.1093,0.0018,5,0.158370,0.000375,0.244189,0.000399,0.8931,,1.0460,,1,0.158779,,0.244524,,0.8961,0.0001,1.1093,0.0018,5,0.158370,0.000375,0.244189,0.000399,0.8931,,1.0460,,1,0.158779,,0.244524,,0.8824,,1.2300,,1,0.158779,,0.244524,,0.8961,0.0001,1.1093,0.0018,5,0.158370,0.000375,0.244189,0.000399,0.8872,,1.4536,,1,0.279978,,0.374303,,0.8936,0.0019,1.5170,0.0351,5,0.288799,0.013379,0.380881,0.010504,0.8805,,1.2255,,1,0.279978,,0.374303,,0.8921,0.0005,1.3160,0.0239,5,0.288799,0.013379,0.380881,0.010504,0.8921,,1.1107,,1,0.158779,,0.244524,,,,,,0,,,,
traffic,96,5,0.443549,,0.289876,,1,0.8912,,1.4004,,1,0.443549,,0.289876,,0.8972,0.0001,1.5272,0.0019,5,0.443970,0.000624,0.289994,0.000349,0.8886,,1.1107,,1,0.443549,,0.289876,,0.8971,0.0002,1.2168,0.0014,5,0.443970,0.000624,0.289994,0.000349,0.8886,,1.1107,,1,0.443549,,0.289876,,0.8971,0.0002,1.2168,0.0014,5,0.443970,0.000624,0.289994,0.000349,0.8886,,1.1107,,1,0.443549,,0.289876,,0.8801,,1.7208,,1,0.443549,,0.289876,,0.8971,0.0002,1.2168,0.0014,5,0.443970,0.000624,0.289994,0.000349,0.8920,,1.6853,,1,0.704569,,0.412400,,0.8940,0.0007,1.8845,0.1864,5,0.752898,0.054346,0.452955,0.037747,0.8784,,1.4026,,1,0.704569,,0.412400,,0.8899,0.0013,1.5548,0.0680,5,0.752898,0.054346,0.452955,0.037747,0.8902,,1.3891,,1,0.443549,,0.289876,,,,,,0,,,,
exchange-rate,96,5,0.086238,,0.206460,,1,0.8912,,0.9127,,1,0.086238,,0.206460,,0.8934,,0.9380,,1,0.086238,,0.206460,,0.8814,,0.9230,,1,0.086238,,0.206460,,0.8889,,0.9760,,1,0.086238,,0.206460,,0.8814,,0.9230,,1,0.086238,,0.206460,,0.8889,,0.9760,,1,0.086238,,0.206460,,0.8814,,0.9230,,1,0.086238,,0.206460,,0.8428,,1.0099,,1,0.086238,,0.206460,,0.8889,,0.9760,,1,0.086238,,0.206460,,0.8861,,5.6851,,1,2.366422,,1.309022,,0.9116,,5.8226,,1,2.366422,,1.309022,,0.9083,,7.0101,,1,2.366422,,1.309022,,0.8959,,7.1197,,1,2.366422,,1.309022,,0.8902,,0.9095,,1,0.086238,,0.206460,,0.8929,,0.9339,,1,0.086238,,0.206460,
national-illness,24,5,1.743707,0.031104,0.823475,0.010770,5,0.7448,0.0075,2.3936,0.0163,5,1.743707,0.031104,0.823475,0.010770,0.7641,,2.5496,,1,1.733438,,0.831706,,0.6993,0.0063,2.0452,0.0373,5,1.743707,0.031104,0.823475,0.010770,0.7220,,2.2716,,1,1.733438,,0.831706,,0.6993,0.0063,2.0452,0.0373,5,1.743707,0.031104,0.823475,0.010770,0.7220,,2.2716,,1,1.733438,,0.831706,,0.6993,0.0063,2.0452,0.0373,5,1.743707,0.031104,0.823475,0.010770,0.7919,,3.2212,,1,1.733438,,0.831706,,0.7220,,2.2716,,1,1.733438,,0.831706,,0.6884,0.0566,5.5960,0.4253,5,6.892255,1.261057,1.959445,0.257918,0.7025,,5.9594,,1,6.579035,,1.818163,,0.6768,,5.5457,,1,6.579035,,1.818163,,0.7025,,5.9594,,1,6.579035,,1.818163,,,,,,0,,,,,0.7505,,2.4170,,1,1.733438,,0.831706,
